지점,년도,벚나무,벚나무
,,개화,개화(평비)
고흥,2001,2001-04-03,2일
고흥,2002,2002-03-30,-2일
고흥,2003,2003-03-31,-1일
고흥,2004,2004-03-29,-3일
고흥,2005,2005-04-08,7일
고흥,2006,2006-04-01,0일
고흥,2007,2007-03-27,-5일
고흥,2008,2008-03-28,-4일
고흥,2009,,
고흥,2010,,
고흥,2011,,
고흥,2012,,
고흥,2013,,
고흥,2014,,
고흥,2015,,
고흥,2016,,
고흥,2017,,
고흥,2018,,
고흥,2019,,
고흥,2020,,
고흥,2021,,
고흥,2022,,
고흥,2023,,
고흥,2024,,
고흥,2025,,
목포,2001,2001-04-04,1일
목포,2002,2002-03-29,-5일
목포,2003,2003-03-30,-4일
목포,2004,2004-04-01,-2일
목포,2005,2005-04-11,8일
목포,2006,2006-04-07,4일
목포,2007,2007-03-31,-3일
목포,2008,2008-03-31,-3일
목포,2009,2009-04-03,0일
목포,2010,2010-04-05,2일
목포,2011,2011-04-09,6일
목포,2012,2012-04-11,8일
목포,2013,2013-03-31,-3일
목포,2014,2014-03-28,-6일
목포,2015,2015-03-26,-8일
목포,2016,2016-03-31,-3일
목포,2017,2017-04-02,-1일
목포,2018,2018-03-29,-5일
목포,2019,2019-03-31,-3일
목포,2020,2020-03-26,-8일
목포,2021,2021-03-24,-10일
목포,2022,2022-03-31,-3일
목포,2023,2023-03-26,-8일
목포,2024,2024-03-29,-5일
목포,2025,2025-03-27,-7일
여수,2001,2001-03-30,-1일
여수,2002,2002-03-26,-5일
여수,2003,2003-03-25,-6일
여수,2004,2004-03-26,-5일
여수,2005,2005-04-07,7일
여수,2006,2006-03-31,0일
여수,2007,2007-03-26,-5일
여수,2008,2008-03-30,-1일
여수,2009,2009-03-24,-7일
여수,2010,2010-04-04,4일
여수,2011,2011-04-05,5일
여수,2012,2012-04-06,6일
여수,2013,2013-03-25,-6일
여수,2014,2014-03-26,-5일
여수,2015,2015-03-28,-3일
여수,2016,2016-03-27,-4일
여수,2017,2017-03-31,0일
여수,2018,2018-03-29,-2일
여수,2019,2019-03-26,-5일
여수,2020,2020-03-25,-6일
여수,2021,2021-03-21,-10일
여수,2022,2022-03-29,-2일
여수,2023,2023-03-23,-8일
여수,2024,2024-03-26,-5일
여수,2025,2025-03-30,-1일
완도,2001,2001-04-02,1일
완도,2002,2002-03-25,-7일
완도,2003,2003-03-30,-2일
완도,2004,2004-03-26,-6일
완도,2005,2005-04-08,7일
완도,2006,2006-04-02,1일
완도,2007,2007-03-28,-4일
완도,2008,2008-03-31,-1일
완도,2009,2009-03-29,-3일
완도,2010,2010-04-03,2일
완도,2011,2011-04-04,3일
완도,2012,2012-04-10,9일
완도,2013,2013-04-01,0일
완도,2014,2014-03-30,-2일
완도,2015,2015-03-31,-1일
완도,2016,,
완도,2017,,
완도,2018,,
완도,2019,,
완도,2020,,
완도,2021,,
완도,2022,,
완도,2023,,
완도,2024,,
완도,2025,,
장흥,2001,2001-04-03,0일
장흥,2002,2002-03-27,-7일
장흥,2003,2003-03-30,-4일
장흥,2004,2004-03-26,-8일
장흥,2005,2005-04-07,4일
장흥,2006,2006-04-02,-1일
장흥,2007,2007-03-27,-7일
장흥,2008,2008-03-28,-6일
장흥,2009,,
장흥,2010,,
장흥,2011,,
장흥,2012,,
장흥,2013,,
장흥,2014,,
장흥,2015,,
장흥,2016,,
장흥,2017,,
장흥,2018,,
장흥,2019,,
장흥,2020,,
장흥,2021,,
장흥,2022,,
장흥,2023,,
장흥,2024,,
장흥,2025,,
주암,2001,2001-04-05,1일
주암,2002,2002-03-26,-9일
주암,2003,2003-04-02,-2일
주암,2004,2004-03-29,-6일
주암,2005,2005-04-09,5일
주암,2006,2006-04-01,-3일
주암,2007,2007-03-29,-6일
주암,2008,2008-04-02,-2일
주암,2009,2009-03-30,-5일
주암,2010,2010-04-05,1일
주암,2011,,
주암,2012,,
주암,2013,,
주암,2014,,
주암,2015,,
주암,2016,,
주암,2017,,
주암,2018,,
주암,2019,,
주암,2020,,
주암,2021,,
주암,2022,,
주암,2023,,
주암,2024,,
주암,2025, , 
해남,2001,2001-04-06,1일
해남,2002,2002-03-30,-6일
해남,2003,2003-04-01,-4일
해남,2004,2004-03-29,-7일
해남,2005,2005-04-09,4일
해남,2006,2006-04-05,0일
해남,2007,2007-03-30,-6일
해남,2008,2008-04-03,-2일
해남,2009,,
해남,2010,,
해남,2011,,
해남,2012,,
해남,2013,,
해남,2014,,
해남,2015,,
해남,2016,,
해남,2017,,
해남,2018,,
해남,2019,,
해남,2020,,
해남,2021,,
해남,2022,,
해남,2023,,
해남,2024,,
해남,2025,,
흑산도,2001,2001-04-08,2일
흑산도,2002,2002-04-01,-5일
흑산도,2003,2003-03-30,-7일
흑산도,2004,2004-03-26,-11일
흑산도,2005,2005-04-12,6일
흑산도,2006,2006-04-09,3일
흑산도,2007,2007-04-05,-1일
흑산도,2008,2008-04-01,-5일
흑산도,2009,2009-04-02,-4일
흑산도,2010,2010-04-04,-2일
흑산도,2011,2011-04-13,7일
흑산도,2012,2012-04-17,11일
흑산도,2013,2013-04-10,4일
흑산도,2014,2014-04-03,-3일
흑산도,2015,2015-03-31,-6일
흑산도,2016,2016-04-03,-3일
흑산도,2017,2017-04-06,0일
흑산도,2018,2018-04-05,-1일
흑산도,2019,2019-04-04,-2일
흑산도,2020,2020-04-08,2일
흑산도,2021,2021-04-01,-5일
흑산도,2022,2022-04-08,2일
흑산도,2023,2023-04-02,-4일
흑산도,2024,2024-03-31,-6일
흑산도,2025,2025-04-06,0일
